a b c
13.4 1.74 0.07316877751646157
13.4 1.85 0.06541602338871601
13.4 1.96 0.053261044764398704
13.4 2.07 0.04682945887373463
13.4 2.17 0.04997837272514003
13.4 2.28 0.05827599815846817
13.4 2.39 0.061536754590140706
13.4 2.5 0.0552708987841289
 
15.6 0.0 0.019607843137254784
15.6 0.11 0.02759854220761139
15.6 0.22 0.03836186931147811
15.6 0.33 0.05198053618108711
15.6 0.43 0.06622984992208285
15.6 0.54 0.08211901411315913
15.6 0.65 0.09494452206200771
15.6 0.76 0.10059562570459703
15.6 0.87 0.09609359542216264
15.6 0.98 0.08217779002701361
15.6 1.09 0.06479134650391472
15.6 1.2 0.053124770181635604
15.6 1.3 0.053156196878296716
15.6 1.41 0.06330349039728962
15.6 1.52 0.07383722056315764
15.6 1.63 0.07362343369890761
15.6 1.74 0.0619614688920909
15.6 1.85 0.05040497518440668
15.6 1.96 0.05042620194159287
15.6 2.07 0.059541001221275563
15.6 2.17 0.06404291199490553
15.6 2.28 0.05748571616500706
15.6 2.39 0.04715614629988268
15.6 2.5 0.04630373892340793
 
17.8 0.0 0.019607843137254954
17.8 0.11 0.0282483987374927
17.8 0.22 0.040102208739378614
17.8 0.33 0.055233535974714816
17.8 0.43 0.07091691128859325
17.8 0.54 0.08763850369161182
17.8 0.65 0.09930137396550266
17.8 0.76 0.1009186085301138
17.8 0.87 0.09037317089240472
17.8 0.98 0.0719064721961015
17.8 1.09 0.05611137677521252
17.8 1.2 0.05343849120946621
17.8 1.3 0.06301467024357182
17.8 1.41 0.07535860529754283
17.8 1.52 0.07515780113409883
17.8 1.63 0.061568410228649804
17.8 1.74 0.05054321285110668
17.8 1.85 0.05467116180080417
17.8 1.96 0.0649165427970593
17.8 2.07 0.06335654517050067
17.8 2.17 0.05230297932274887
17.8 2.28 0.04693593526206578
17.8 2.39 0.05459245084210926
17.8 2.5 0.05873487780970932
 
20.0 0.0 0.019607843137254517
20.0 0.11 0.02894676221501632
20.0 0.22 0.0419176788233354
20.0 0.33 0.05849284477392259
20.0 0.43 0.0753542993017288
20.0 0.54 0.09224699631346966
20.0 0.65 0.10165243847362582
20.0 0.76 0.09823878324968972
20.0 0.87 0.08214179918160491
20.0 0.98 0.06249224044795926
20.0 1.09 0.053437650280410164
20.0 1.2 0.06147524082913825
20.0 1.3 0.07464309926100793
20.0 1.41 0.07759975934562065
20.0 1.52 0.06387881860652594
20.0 1.63 0.05178246448087863
20.0 1.74 0.05725877529025268
20.0 1.85 0.06760222531210645
20.0 1.96 0.06213789322580711
20.0 2.07 0.04959028292672275
20.0 2.17 0.05096750538522119
20.0 2.28 0.06030825917073514
20.0 2.39 0.056075972081082635
20.0 2.5 0.04588194806500616
 
22.2 0.0 0.01960784313725508
22.2 0.11 0.029472828625921012
22.2 0.22 0.04345603821565507
22.2 0.33 0.061432184953004385
22.2 0.43 0.07940175193487871
22.2 0.54 0.096173515800241
22.2 0.65 0.10273567101350906
22.2 0.76 0.09395691677124317
22.2 0.87 0.0735628699322933
22.2 0.98 0.05623728445620772
22.2 1.09 0.05686262878976584
22.2 1.2 0.07229926792359624
22.2 1.3 0.08032706981323447
22.2 1.41 0.06913436460486042
22.2 1.52 0.053424508815751504
22.2 1.63 0.05727462551986248
22.2 1.74 0.06947410138819769
22.2 1.85 0.0630843618698158
22.2 1.96 0.04971194094818334
22.2 2.07 0.05544968541920358
22.2 2.17 0.06312056588214067
22.2 2.28 0.05319596786627812
22.2 2.39 0.046796299800642836
22.2 2.5 0.05639983386101881
 
24.4 0.0 0.019607843137254954
24.4 0.11 0.029876572692764752
24.4 0.22 0.044665037047602815
24.4 0.33 0.06388778201130152
24.4 0.43 0.08303117854043912
24.4 0.54 0.10012718375015522
24.4 0.65 0.10470238793253775
24.4 0.76 0.09169086448033177
24.4 0.87 0.06808208463556807
24.4 0.98 0.053202835342708386
24.4 1.09 0.06103862923329237
24.4 1.2 0.07892694643408017
24.4 1.3 0.07986969836707902
24.4 1.41 0.06129326084827355
24.4 1.52 0.05267423835165277
24.4 1.63 0.06592075767966503
24.4 1.74 0.06937419717695616
24.4 1.85 0.05388668214306998
24.4 1.96 0.05284457525796223
24.4 2.07 0.06349870160596294
24.4 2.17 0.05681291454603082
24.4 2.28 0.047946319101912355
24.4 2.39 0.05638938534353464
24.4 2.5 0.054390992429127295
 
26.7 0.0 0.019607843137255204
26.7 0.11 0.030407082376251053
26.7 0.22 0.04560164630050756
26.7 0.33 0.06425861421917968
26.7 0.43 0.08101096723227061
26.7 0.54 0.09293629292769601
26.7 0.65 0.09206181965650977
26.7 0.76 0.07967867645058435
