3 	1.00	8.999 	2.985 	16  secondi
5 	1.00 	16.17 	4.000 	27  secondi
7 	1.00 	35.47 	3.899 	2.5 minuti
9 	1.00 	56.63 	3.033 	6.5 minuti
11 	0.999 	70.22 	2.054 	12  minuti
13 	0.999 	117.7 	2.215 	34  minuti
15 	0.997 	124.0 	1.470 	66  minuti
17 	0.997 	177.7 	1.511 	115 minuti
19 	0.995 	237.7 	1.507 	197 minuti
21	0.991 	211.3 	0.918 	203 minuti
23 	0.989 	250. 	0.860 	500 minuti
25	0.986	282	0.707	399 minuti
27	0.979	294.6	0.604	416 minuti

