# dim, static, lin, sqrt, cerf
3 2.5141222965036607 2.937742812371261 2.933722389534157 2.8899672558524707
5 3.5365234553112788 4.805799690330747 4.793534834225246 4.662291252099787
7 4.142392378820727 6.569390291274967 6.543079809104578 6.265780206338207
9 4.514698411673684 8.208959585969174 8.162528282983804 7.681178676022187
11 4.787743695676247 9.71240732465746 9.640273434492943 8.904846671250136
13 5.041545304733845 11.074674965398751 10.972349228993329 9.945603375287199
15 5.817167659309924 12.296722822706581 12.161192869826536 10.820331407352983
17 6.028496227921573 13.384316355153425 13.214226433620048 11.550144414461695
19 6.305496856303009 14.346592297159122 14.142248557056467 12.157664641471236
21 6.648950305128347 15.194784868156018 14.958088787398259 12.66492876561847
23 7.050511090849564 15.941186194525558 15.675393908033989 13.092162572269704
25 7.494482529492898 16.59837977863361 16.307891383081753 13.457161147180482
27 7.960183261888788 17.178486209254494 16.8686983603971 13.775097863219353
29 8.426029512711901 17.69286536997097 17.36996902507088 14.058707476751433
31 9.00713499634721 18.151677444851682 17.822692131945384 14.31831702001192
33 9.447561368768085 18.56423628630234 18.236487951165287 14.562306042341099
35 9.855505893824148 18.9385198299978 18.61987911028794 14.797316000187887
37 10.215685990206001 19.281431381754725 18.980122151947484 15.028349519159853
39 10.543096459176475 19.598702901475598 19.32340890506992 15.259639617693812
41 10.851790836854219 19.89529038409441 19.65494068348151 15.494044383989191
43 11.14514837345177 20.175224154208962 19.97901572081237 15.733646468447892
45 11.458201439923176 20.441807150737596 20.29903669820563 15.979548498597875
47 11.967454837253083 20.697711662839936 20.617936501326763 16.232643412716428
49 12.274032471747573 20.944992299643392 20.93798904226632 16.493098075751636
51 12.624203599329482 21.185239849348275 21.26098301781148 16.761088848552284
53 12.989419836582497 21.419922473800643 21.588282496852234 17.035896283181497
55 13.410286015931513 21.64992322478616 21.920650105796437 17.316751637894406
57 13.822815575366066 21.87599097525148 22.258753742057507 17.60274376240329
59 14.270787700715728 22.09870204919748 22.60319447625962 17.892772176697232
61 14.754543215994213 22.318385854996 22.95407498630228 18.18565187997633
63 15.222747993757924 22.535363252921737 23.311348746981043 18.480163977525578
65 15.645427120728844 22.749914903244278 23.67470778053757 18.775105587477704
67 16.057742798644167 22.962258669692083 24.033452408626395 19.069335687345728
69 16.451559167380083 23.172608605525703 24.38447537404734 19.361814860342133
71 16.82488284010455 23.38118887272231 24.738435642061503 19.65153217486668
